n_files,file_name,shape,fold,seed,score
8,5d2709bb03f801723c32852c_train.csv,"(17203, 2456)",8,1234,3.956663219903256
8,5d2709bb03f801723c32852c_train.csv,"(17203, 2456)",9,1234,3.706034001242509
8,5d2709bb03f801723c32852c_train.csv,"(17203, 2456)",10,1234,3.596165702987434
8,5d2709bb03f801723c32852c_train.csv,"(17203, 2456)",11,1234,3.871469265006152
8,5d2709bb03f801723c32852c_train.csv,"(17203, 2456)",12,1234,3.849655289140187
8,5d2709bb03f801723c32852c_train.csv,"(17203, 2456)",13,1234,3.5780467145822774
8,5d2709bb03f801723c32852c_train.csv,"(17203, 2456)",14,1234,3.709427615506701
8,5d2709bb03f801723c32852c_train.csv,"(17203, 2456)",15,1234,3.7146827272590595
8,5d2709bb03f801723c32852c_train.csv,"(17203, 2456)",16,1234,3.6520136564257237
8,5d2709bb03f801723c32852c_train.csv,"(17203, 2456)",17,1234,3.450929181632845
8,5d2709bb03f801723c32852c_train.csv,"(17203, 2456)",18,1234,3.938718082860416
8,5d2709bb03f801723c32852c_train.csv,"(17203, 2456)",19,1234,4.014249931667761
8,5d2709bb03f801723c32852c_train.csv,"(17203, 2456)",999,1234,3.7416345509752316
9,5d2709c303f801723c3299ee_train.csv,"(10083, 5835)",0,1234,3.3681298883226973
9,5d2709c303f801723c3299ee_train.csv,"(10083, 5835)",1,1234,3.375228235753403
9,5d2709c303f801723c3299ee_train.csv,"(10083, 5835)",2,1234,3.30673832971084
9,5d2709c303f801723c3299ee_train.csv,"(10083, 5835)",3,1234,3.3186392219815346
9,5d2709c303f801723c3299ee_train.csv,"(10083, 5835)",4,1234,3.4205817036603605
9,5d2709c303f801723c3299ee_train.csv,"(10083, 5835)",5,1234,3.544004644836649
9,5d2709c303f801723c3299ee_train.csv,"(10083, 5835)",6,1234,3.686349377533117
9,5d2709c303f801723c3299ee_train.csv,"(10083, 5835)",7,1234,3.5648070884589447
9,5d2709c303f801723c3299ee_train.csv,"(10083, 5835)",8,1234,3.3785427012204727
9,5d2709c303f801723c3299ee_train.csv,"(10083, 5835)",9,1234,3.47724665168484
9,5d2709c303f801723c3299ee_train.csv,"(10083, 5835)",10,1234,3.1823101976334316
9,5d2709c303f801723c3299ee_train.csv,"(10083, 5835)",11,1234,3.3808266708904564
9,5d2709c303f801723c3299ee_train.csv,"(10083, 5835)",12,1234,3.5001815760192123
9,5d2709c303f801723c3299ee_train.csv,"(10083, 5835)",13,1234,3.336106015616599
9,5d2709c303f801723c3299ee_train.csv,"(10083, 5835)",14,1234,3.321415181444584
9,5d2709c303f801723c3299ee_train.csv,"(10083, 5835)",15,1234,3.579977689524127
9,5d2709c303f801723c3299ee_train.csv,"(10083, 5835)",16,1234,3.3089807957520994
9,5d2709c303f801723c3299ee_train.csv,"(10083, 5835)",17,1234,3.5397594596802957
9,5d2709c303f801723c3299ee_train.csv,"(10083, 5835)",18,1234,3.602892438921033
9,5d2709c303f801723c3299ee_train.csv,"(10083, 5835)",19,1234,3.3733770973057404
9,5d2709c303f801723c3299ee_train.csv,"(10083, 5835)",999,1234,3.428281459812834
10,5d2709d403f801723c32bd39_train.csv,"(10027, 2143)",0,1234,2.6714006411330247
10,5d2709d403f801723c32bd39_train.csv,"(10027, 2143)",1,1234,2.7813633308801164
10,5d2709d403f801723c32bd39_train.csv,"(10027, 2143)",2,1234,2.7613706705389465
10,5d2709d403f801723c32bd39_train.csv,"(10027, 2143)",3,1234,2.7095475423571127
10,5d2709d403f801723c32bd39_train.csv,"(10027, 2143)",4,1234,2.7687981507728097
10,5d2709d403f801723c32bd39_train.csv,"(10027, 2143)",5,1234,2.6508058928462312
10,5d2709d403f801723c32bd39_train.csv,"(10027, 2143)",6,1234,2.71308595969252
10,5d2709d403f801723c32bd39_train.csv,"(10027, 2143)",7,1234,2.6491524265521
10,5d2709d403f801723c32bd39_train.csv,"(10027, 2143)",8,1234,2.9311161714317984
10,5d2709d403f801723c32bd39_train.csv,"(10027, 2143)",9,1234,2.629906188065324
10,5d2709d403f801723c32bd39_train.csv,"(10027, 2143)",10,1234,2.614311371252226
10,5d2709d403f801723c32bd39_train.csv,"(10027, 2143)",11,1234,2.6701843827295377
10,5d2709d403f801723c32bd39_train.csv,"(10027, 2143)",12,1234,2.741586971786273
10,5d2709d403f801723c32bd39_train.csv,"(10027, 2143)",13,1234,2.7074714179603347
10,5d2709d403f801723c32bd39_train.csv,"(10027, 2143)",14,1234,2.8402012110880763
10,5d2709d403f801723c32bd39_train.csv,"(10027, 2143)",15,1234,2.6931673261249314
10,5d2709d403f801723c32bd39_train.csv,"(10027, 2143)",16,1234,2.8435556975568455
10,5d2709d403f801723c32bd39_train.csv,"(10027, 2143)",17,1234,2.8374889850956637
10,5d2709d403f801723c32bd39_train.csv,"(10027, 2143)",18,1234,2.807104229694028
10,5d2709d403f801723c32bd39_train.csv,"(10027, 2143)",19,1234,2.8275847321040817
10,5d2709d403f801723c32bd39_train.csv,"(10027, 2143)",999,1234,2.7424461180132518
11,5d2709e003f801723c32d896_train.csv,"(11042, 1313)",0,1234,3.245714427616272
11,5d2709e003f801723c32d896_train.csv,"(11042, 1313)",1,1234,3.191918317361341
11,5d2709e003f801723c32d896_train.csv,"(11042, 1313)",2,1234,3.232556004958346
11,5d2709e003f801723c32d896_train.csv,"(11042, 1313)",3,1234,3.189780840531474
11,5d2709e003f801723c32d896_train.csv,"(11042, 1313)",4,1234,3.244706324032442
11,5d2709e003f801723c32d896_train.csv,"(11042, 1313)",5,1234,3.0404174942985263
11,5d2709e003f801723c32d896_train.csv,"(11042, 1313)",6,1234,3.1075203797402913
11,5d2709e003f801723c32d896_train.csv,"(11042, 1313)",7,1234,3.227471714399827
11,5d2709e003f801723c32d896_train.csv,"(11042, 1313)",8,1234,3.1397994300191865
11,5d2709e003f801723c32d896_train.csv,"(11042, 1313)",9,1234,3.1274710463482465
11,5d2709e003f801723c32d896_train.csv,"(11042, 1313)",10,1234,3.1197610857546705
11,5d2709e003f801723c32d896_train.csv,"(11042, 1313)",11,1234,3.329753120099369
11,5d2709e003f801723c32d896_train.csv,"(11042, 1313)",12,1234,3.123731144320132
11,5d2709e003f801723c32d896_train.csv,"(11042, 1313)",13,1234,3.2175686260308574
11,5d2709e003f801723c32d896_train.csv,"(11042, 1313)",14,1234,3.1222524862610768
11,5d2709e003f801723c32d896_train.csv,"(11042, 1313)",15,1234,3.164703465305889
11,5d2709e003f801723c32d896_train.csv,"(11042, 1313)",16,1234,3.119702219146655
11,5d2709e003f801723c32d896_train.csv,"(11042, 1313)",17,1234,3.082731502986121
11,5d2709e003f801723c32d896_train.csv,"(11042, 1313)",18,1234,3.3561062928011025
11,5d2709e003f801723c32d896_train.csv,"(11042, 1313)",19,1234,3.2655814448583977
11,5d2709e003f801723c32d896_train.csv,"(11042, 1313)",999,1234,3.1824689530209507
12,5da138274db8ce0c98bbd3d2_train.csv,"(2662, 494)",0,1234,3.633100476213458
12,5da138274db8ce0c98bbd3d2_train.csv,"(2662, 494)",1,1234,3.6425569014132786
12,5da138274db8ce0c98bbd3d2_train.csv,"(2662, 494)",2,1234,3.968818510973028
12,5da138274db8ce0c98bbd3d2_train.csv,"(2662, 494)",3,1234,3.0807023510873193
12,5da138274db8ce0c98bbd3d2_train.csv,"(2662, 494)",4,1234,3.7522711080649502
12,5da138274db8ce0c98bbd3d2_train.csv,"(2662, 494)",5,1234,3.9195714977296423
12,5da138274db8ce0c98bbd3d2_train.csv,"(2662, 494)",6,1234,2.9295750382514734
12,5da138274db8ce0c98bbd3d2_train.csv,"(2662, 494)",7,1234,3.3051196223101047
12,5da138274db8ce0c98bbd3d2_train.csv,"(2662, 494)",8,1234,3.9985623219344433
12,5da138274db8ce0c98bbd3d2_train.csv,"(2662, 494)",9,1234,3.640481182509343
12,5da138274db8ce0c98bbd3d2_train.csv,"(2662, 494)",10,1234,3.4689686295625823
12,5da138274db8ce0c98bbd3d2_train.csv,"(2662, 494)",11,1234,3.119802282735461
12,5da138274db8ce0c98bbd3d2_train.csv,"(2662, 494)",12,1234,3.7646948401520928
12,5da138274db8ce0c98bbd3d2_train.csv,"(2662, 494)",13,1234,3.285220171585612
12,5da138274db8ce0c98bbd3d2_train.csv,"(2662, 494)",14,1234,3.7449258322529304
12,5da138274db8ce0c98bbd3d2_train.csv,"(2662, 494)",15,1234,3.439462346336785
12,5da138274db8ce0c98bbd3d2_train.csv,"(2662, 494)",16,1234,3.4238696320008772
12,5da138274db8ce0c98bbd3d2_train.csv,"(2662, 494)",17,1234,3.381662937178762
12,5da138274db8ce0c98bbd3d2_train.csv,"(2662, 494)",18,1234,3.798271572198453
12,5da138274db8ce0c98bbd3d2_train.csv,"(2662, 494)",19,1234,3.672130867496626
12,5da138274db8ce0c98bbd3d2_train.csv,"(2662, 494)",999,1234,3.548555528776081
13,5da1382d4db8ce0c98bbe92e_train.csv,"(8999, 2866)",0,1234,3.591864674837539
13,5da1382d4db8ce0c98bbe92e_train.csv,"(8999, 2866)",1,1234,3.7209092525882954
13,5da1382d4db8ce0c98bbe92e_train.csv,"(8999, 2866)",2,1234,3.8018161626025835
13,5da1382d4db8ce0c98bbe92e_train.csv,"(8999, 2866)",3,1234,3.9966501601030964
13,5da1382d4db8ce0c98bbe92e_train.csv,"(8999, 2866)",4,1234,3.8197614821126584
13,5da1382d4db8ce0c98bbe92e_train.csv,"(8999, 2866)",5,1234,3.743540679892246
13,5da1382d4db8ce0c98bbe92e_train.csv,"(8999, 2866)",6,1234,3.8449878380150575
13,5da1382d4db8ce0c98bbe92e_train.csv,"(8999, 2866)",7,1234,3.9548886830822814
13,5da1382d4db8ce0c98bbe92e_train.csv,"(8999, 2866)",8,1234,3.722393102330581
13,5da1382d4db8ce0c98bbe92e_train.csv,"(8999, 2866)",9,1234,3.6676983311590985
13,5da1382d4db8ce0c98bbe92e_train.csv,"(8999, 2866)",10,1234,3.609657316790219
13,5da1382d4db8ce0c98bbe92e_train.csv,"(8999, 2866)",11,1234,3.821573272597067
13,5da1382d4db8ce0c98bbe92e_train.csv,"(8999, 2866)",12,1234,3.768771709848811
13,5da1382d4db8ce0c98bbe92e_train.csv,"(8999, 2866)",13,1234,3.6155155926296043
13,5da1382d4db8ce0c98bbe92e_train.csv,"(8999, 2866)",14,1234,3.7325386618575944
13,5da1382d4db8ce0c98bbe92e_train.csv,"(8999, 2866)",15,1234,3.7819153903603135
13,5da1382d4db8ce0c98bbe92e_train.csv,"(8999, 2866)",16,1234,3.6044858591229847
13,5da1382d4db8ce0c98bbe92e_train.csv,"(8999, 2866)",17,1234,3.8703722796444144
13,5da1382d4db8ce0c98bbe92e_train.csv,"(8999, 2866)",18,1234,3.9984640113290792
13,5da1382d4db8ce0c98bbe92e_train.csv,"(8999, 2866)",19,1234,3.810947920578859
13,5da1382d4db8ce0c98bbe92e_train.csv,"(8999, 2866)",999,1234,3.7739335063614283
14,5da138314db8ce0c98bbf3a0_train.csv,"(9012, 1216)",0,1234,2.2465143392978777
